SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree476	-45.3375	0.000180829	0.190931	0.189988	0	5.844	4.882	15.038
tree477	-43.1682	0.000108321	0.222465	0.120336	0	6.299	2.741	12.442
tree478	-44.2932	1e-06	0.185439	0.195274	0	6.266	5.252	14.986
tree479	-45.3116	1e-06	0.220944	0.197655	0	7.251	4.525	13.274
tree480	-42.3112	1e-06	0.149075	0.145093	0	4.5	3.869	15.369
tree481	-45.3375	0.000180829	0.190931	0.189988	0	5.88	4.78	14.9
tree482	-45.1102	1e-06	0.210038	0.197485	0	7.113	4.782	13.669
tree483	-45.3375	0.000180829	0.190931	0.189988	0.001	5.796	4.878	15.081
tree484	-45.0155	1e-06	0.219646	0.194467	0	7.076	4.436	13.36
tree485	-44.164	1e-06	0.215633	0.174332	0	6.728	3.972	13.244
tree486	-44.2932	1e-06	0.185439	0.195274	0	6.321	5.295	14.974
tree487	-44.2747	0.000230194	0.26105	0.146903	0	7.243	2.836	11.593
tree488	-45.3375	0.000180829	0.190931	0.189988	0.001	5.789	4.85	15.06
tree489	-44.2669	1e-06	0.189517	0.180797	0	6.328	4.488	14.16
tree490	-44.1397	4.18046e-06	0.251906	0.124511	0	7.057	2.554	11.497
tree491	-44.9968	0.000294878	0.25496	0.135801	0	7.605	2.581	10.976
tree492	-45.3116	1e-06	0.220944	0.197655	0	7.18	4.614	13.434
tree493	-44.5407	1e-06	0.23974	0.155877	0	7.388	3.206	11.818
tree494	-45.1102	1e-06	0.210038	0.197485	0	7.014	4.816	13.802
tree495	-43.5952	0.000153764	0.248836	0.154794	0	6.749	3.127	12.378
tree496	-44.2669	1e-06	0.189517	0.180797	0	6.44	4.6	14.16
tree497	-43.781	1e-06	0.245603	0.130918	0	6.891	2.781	11.89
tree498	-44.2669	1e-06	0.189517	0.180797	0	6.463	4.477	14.014
tree499	-44.5407	1e-06	0.23974	0.155877	0	7.481	3.102	11.621
tree500	-44.2669	1e-06	0.189517	0.180797	0	6.4	4.521	14.121
tree501	-43.781	1e-06	0.245603	0.130918	0	6.907	2.735	11.828
tree502	-45.9447	1e-06	0.248485	0.205668	0	7.53	4.382	12.852
tree503	-43.7965	1e-06	0.157309	0.165561	0	4.924	4.503	15.579
tree504	-44.2669	1e-06	0.189517	0.180797	0	6.421	4.498	14.077
tree505	-44.2932	1e-06	0.185439	0.195274	0	6.403	5.255	14.852
tree506	-45.0155	1e-06	0.219646	0.194467	0	7.002	4.518	13.516
tree507	-44.0729	2.62126e-05	0.250602	0.125561	0	7.083	2.566	11.483
tree508	-45.9447	1e-06	0.248485	0.205668	0	7.535	4.326	12.791
tree509	-44.164	1e-06	0.215633	0.174332	0	6.759	3.946	13.187
tree510	-45.3116	1e-06	0.220944	0.197655	0	7.009	4.646	13.637
tree511	-44.2669	1e-06	0.189517	0.180797	0	6.481	4.528	14.047
tree512	-45.7825	1e-06	0.234196	0.192852	0	7.552	4.185	12.633
tree513	-44.2669	1e-06	0.189517	0.180797	0	6.442	4.441	13.999
tree514	-44.164	1e-06	0.215633	0.174332	0	6.783	3.917	13.134
tree515	-45.7825	1e-06	0.234196	0.192852	0	7.514	4.115	12.601
tree516	-43.781	1e-06	0.245603	0.130918	0	6.962	2.811	11.849
tree517	-42.1179	7.54792e-06	0.157204	0.152552	0	4.962	4.051	15.089
tree518	-44.164	1e-06	0.215633	0.174332	0	6.742	3.904	13.162
tree519	-43.781	1e-06	0.245603	0.130918	0	6.833	2.791	11.958
tree520	-42.6468	5.61427e-05	0.187621	0.148489	0.001	6.028	3.329	13.3
tree521	-43.5585	8.11329e-06	0.161581	0.163121	0	4.943	4.274	15.331
tree522	-42.5962	1e-06	0.147976	0.162389	0	4.586	4.233	15.647
tree523	-43.6209	5.99898e-06	0.162646	0.15982	0	4.905	4.319	15.414
tree524	-44.2669	1e-06	0.189517	0.180797	0	6.359	4.509	14.15
tree525	-45.3116	1e-06	0.220944	0.197655	0	7.111	4.615	13.504
