SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree390	-11354.9	0	0	0	0.287	426.217	422.296	11.792
tree391	-11354.9	0	0	0	0.279	432.514	428.897	12.104
tree392	-11354.9	0	0	0	0.279	423.524	419.572	11.769
tree393	-11354.9	0	0	0	0.27	437.761	434.496	12.465
tree394	-11354.9	0	0	0	0.291	416.766	412.603	11.546
tree395	-11354.9	0	0	0	0.284	418.581	414.603	11.738
tree396	-11354.9	0	0	0	0.283	439.651	436.474	12.54
tree397	-11354.9	0	0	0	0.278	444.889	441.784	12.617
tree398	-11354.9	0	0	0	0.278	426.848	423.053	11.927
tree399	-11354.9	0	0	0	0.305	423.504	419.547	11.738
tree400	-11354.9	0	0	0	0.303	420.617	416.782	11.862
tree401	-11354.9	0	0	0	0.256	426.706	422.903	11.941
tree402	-11354.9	0	0	0	0.298	429.049	425.404	12.057
tree403	-11354.9	0	0	0	0.313	429.886	426.254	12.055
tree404	-11354.9	0	0	0	0.283	459.594	456.939	13.062
tree405	-11354.9	0	0	0	0.272	430.767	427.218	12.179
tree406	-11354.9	0	0	0	0.31	436.98	433.767	12.477
tree407	-11354.9	0	0	0	0.295	438.545	435.364	12.524
tree408	-11354.9	0	0	0	0.313	425.677	421.75	11.76
tree409	-11354.9	0	0	0	0.281	434.719	431.208	12.208
tree410	-11354.9	0	0	0	0.257	429.437	425.749	12.055
tree411	-11354.9	0	0	0	0.275	427.141	423.436	12.02
tree412	-11354.9	0	0	0	0.287	434.011	430.598	12.3
tree413	-11354.9	0	0	0	0.315	423.397	419.54	11.828
tree414	-11354.9	0	0	0	0.305	417.021	412.968	11.642
tree415	-11354.9	0	0	0	0.302	422.294	418.361	11.765
tree416	-11354.9	0	0	0	0.311	425.935	422.262	12.016
tree417	-11354.9	0	0	0	0.282	422.037	418.265	11.946
tree418	-11354.9	0	0	0	0.279	451.561	448.577	12.737
tree419	-11354.9	0	0	0	0.284	428.451	424.914	12.179
tree420	-11354.9	0	0	0	0.291	427.305	423.44	11.844
